;reviewId;userName;userImage;content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt
0;gp:AOqpTOF_Fc8KcshkA9pIENWucafZecFiLlkxfL2uZuK860ZQdb4OwCawPj-P0aW7oWfnYGw9W3J5p_GFfS3IpQ;erick vlogs;https://play-lh.googleusercontent.com/a-/AOh14Gg5RNhYuKIRYkm8J4BGUw7iEW6ElSv2vFOr07Pl3A;Nossa dalem so do numero e do nome nao cpf email e outros nunca mais compro aqui;1;0;;2021-04-28 01:04:59;;
1;gp:AOqpTOGykGyCDQFeZMDPk3uv1KTTLGyAFf0VNrB5BMzPXXKg8WA2j4p9OEGdBreiXVoefOCPbKBRb2Q-sIO_Wg;Anndrey santos;https://play-lh.googleusercontent.com/-2V4uVQTwZRQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn3R_AeE2Ctjl5Wm584AJSflOw7MQ/photo.jpg;Muito bom;5;0;10.154.2;2021-04-28 01:03:49;;
2;gp:AOqpTOGWN-GCT8ziMRsie4Ad1Rw_YYhDDfus9J9nvu_Ds8JEWcQcSGaIhufqTZdM-CLrcN4aaGpwpVsfdW7dKA;Zé Henrrique e Lucyano;https://play-lh.googleusercontent.com/a-/AOh14GiOjjmvrK4T65t82a0anRsj9h5YkIW60gAy_D95qw;Bom demais;5;0;;2021-04-28 01:01:37;;
3;gp:AOqpTOHOiPDq7fR1NENxNMdL8TBKWpR0idCIHxqc6LwakYW4fjUrXFA4ncqbnu8gZ3lFdNMzv14iea8XZk1uVw;Mateus Lopes;https://play-lh.googleusercontent.com/-ooK3H8jruoI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnzsNGIHyhFp1i-NmRyxGFXClgxYw/photo.jpg;Top;5;0;;2021-04-28 01:00:57;;
4;gp:AOqpTOFNgczAJ3Srqj9e074pgOELGc4QG0qbz6ILprk24o6Kx7p5ji6bZn6mcpVMCo0oJxgUDsZYsAew6cXOQQ;Jefferson Pimentel;https://play-lh.googleusercontent.com/-6AREvAWwEW8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclbX0P_NSk5DHnAp-E6aXNU8KUY1Q/photo.jpg;O suporte é muito difícil e ruim;3;0;10.154.2;2021-04-28 01:00:21;;
5;gp:AOqpTOHEmIX0Ocq1WP4D3OwbYFbfLsmtncr-CYmg4hWTKUebmf6P4Yd1cW1R4eBEfcc1SpjUFnExfdpS6tk2jQ;marcos favero;https://play-lh.googleusercontent.com/-hL5XYG82pQo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnpeZHFm5PFh3rZGkvwbgH3PaHKEQ/photo.jpg;Amo demais S2;5;0;10.154.2;2021-04-28 00:59:34;;
6;gp:AOqpTOF8KacESxk9Dl_WO_4HIZDLgZWPBfZde4Q1Ep5TjcffJ8CTj-qjrsX7DDQ90hI8BDtFYVxY-mlDBYFoqg;Douglas Carlos;https://play-lh.googleusercontent.com/a-/AOh14GjV3hpuLVit4_tQOaIxzny5oe92QwXj5Jc2fKWW1PY;Até o momento não tenho o que reclamar, muito bom para comprar;5;0;10.154.2;2021-04-28 00:58:36;;
7;gp:AOqpTOEq07Ex8WbuWukqCjJiSuAf7beqtEEPL5DdKqCU-xaovkSiuxNh0YOb4CBLzOYGhqeZUg1Kerg5DHP0TA;Miguel Cruz;https://play-lh.googleusercontent.com/a-/AOh14GgcABhOAYMIEA1lDtEB0-uhBgISNSxvjXU8j1GV;Nada que financia o Flamengo terá o meu dinheiro! BAGULHO É MAGALU;1;0;;2021-04-28 00:57:00;;
8;gp:AOqpTOGXWsDOpgcyDnd9vdNmAkVo1G7REZ_xVh6INsKmV7cXtvJRyHGyrkaBmX5PQcRDgYyhxTB_IoAmtPFd-Q;Rafael Bonini;https://play-lh.googleusercontent.com/-UJmbCvddLNY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckH0S47Cp3GvwHBF2PhHU8cmtmqBw/photo.jpg;Muito bom!;5;0;10.154.2;2021-04-28 00:56:56;;
9;gp:AOqpTOGzwTmql4DDqoKETcOfqFM5DnqFybFvyi9U_-7YGXyJKdeJ7vm9vdqZqX1v4lv_EKVLpabHbkKRLXqFig;Antunes BR;https://play-lh.googleusercontent.com/-ZCkL4oRb09Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnzh8dU5hR1rA9pH3U8pSfiIliVAg/photo.jpg;Cara estou esperando meu produto, não consigo nem cancelar para compra outro e vir mais rápido sacanagem;1;0;10.154.2;2021-04-28 00:56:20;;
